event_id;chr_ref;po_number;po_linked;primary_reference;status;status_detail;activity_date;mode;mode_detail;pickup_date;origin;destination;total_charge_usd;carrier_code;bol_chr;mbol_number;material_id;invoice_date
146;541917542;;;4500014332;Delivered;Delivered;2026-01-27;Truckload;Truckload (Dry);2026-01-27;Beauty Manufacturing Solutions Corp;RJW - Joliet;3,218.10;T6216830;;;9050092202;2026-01-28
147;541460990;;;4500011655, 4500014090;Delivered;Delivered;2026-01-21;Truckload;Truckload (Dry);2026-01-21;KDC One;RJW - Joliet;1,195.67;T6144700;;;9050089602;2026-01-22
148;540328316;;;4500014027;Delivered;Delivered;2026-01-08;Truckload;Truckload (Dry);2026-01-08;Charles Green Labs;Fosdick;900.45;T6287314;;;;2026-01-09
149;553633447;;;4500016484-10;Delivered;Delivered;2026-05-18;Truckload;Truckload (Dry);2026-05-18;PCA Landisville;Fosdick (CT);1,580.42;T5283931;;;6360044301;2026-05-19
150;549746797;;;4500015465;Delivered;Delivered;2026-04-10;LTL;LTL (Dry);2026-04-10;BERRY OUTSIDE WAREHOUSE/ENTREPOSAGE PLASPAK INC.;DMI Corporation;314.81;T2295160;;;;2026-04-16
151;555685453;;;4500016903;Delivered;Delivered;2026-06-04;Truckload;Truckload (Dry);2026-06-04;Viking Industries;Twin Health, Inc;993.71;T2964781;;;6120041101;2026-06-05
152;549201533;4500016189;true;4500016189;Delivered;Delivered;2026-04-03;Truckload;Truckload (Dry);2026-04-03;KDC Chemaid;Fosdick;1,311.93;T6300639;;;9050132501;2026-04-06
153;546415829;;;4500013372;Delivered;Delivered;2026-03-10;Truckload;Truckload (Dry);2026-03-10;PLZ MISSISSAUGA PERSONAL CARE;RJW - Joliet;1,747.23;T5268713;;;;2026-03-12
154;543211172;;;4500013374;Delivered;Delivered;2026-02-10;Truckload;Truckload (Dry);2026-02-10;PLZ MISSISSAUGA PERSONAL CARE;RJW - Joliet;2,195.15;T5268713;;;;2026-02-11
155;555967737;;;4500017524;Delivered;Delivered;2026-06-04;LTL;LTL (Dry);2026-06-04;PLZ MISSISSAUGA PERSONAL CARE;Fosdick CT;813.80;T4446427;;;;2026-06-09
156;546696489;;;4500016205;Delivered;Delivered;2026-03-11;LTL;LTL (Dry);2026-03-11;Fosdick Outbound;Menasha Packaging Company;195.39;T2197553;;;;2026-03-13
157;538289833;;;4500014582/14229/14231/14595/14225;Delivered;Delivered;2025-12-22;Truckload;Truckload (Dry);2025-12-22;FM Howell;RJW - Joliet;1,603.89;T4496553;;;9050068701;2025-12-24
158;550969398;;;4500016705;Delivered;Delivered;2026-04-21;LTL;LTL (Dry);2026-04-21;Fosdick Outbound;RJW - Joliet;1,290.10;T4446427;;;"9050034001; 9050112401; 9050112501";2026-04-23
159;546514788;;;4500016140;Delivered;Delivered;2026-03-11;LTL;LTL (Dry);2026-03-11;Fosdick Outbound;Legacy (IN);503.42;T4384804;;;9050115801;2026-03-16
160;551884472;;;4500017044;Delivered;Delivered;2026-05-01;LTL;LTL (Dry);2026-05-01;RJW - Joliet;Legacy IN;980.72;T4446427;;;;2026-05-06
161;555174433;;;4500017464;Delivered;Delivered;2026-06-01;LTL;LTL (Dry);2026-05-29;Menasha Packaging Company;Legacy;335.87;T2359780;;;9050097701;
162;553511217;;;4500017193;Carrier Booked;Booked;2026-05-14;LTL;LTL (Dry);;Legacy (IN);Fosdick Outbound;;T2197553;;;;
163;538393884;;;4500013429;Carrier Booked;Checked In;2025-12-18;LTL;LTL (Dry);;KDC-Knowlton;Fosdick Fulfillment;;T2295160;;;9050093302;
164;543612469;;;4500015349;Delivered;Delivered;2026-02-10;LTL;LTL (Dry);2026-02-10;Westfall-Technik;Harry's, INC. C/O Fosdick Fulfillment;321.51;T2197553;;;;2026-02-16
165;548525360;;;4500014849;Delivered;Delivered;2026-04-01;Truckload;Truckload (Dry);2026-04-01;KDC Chemaid;Fosdick;1,188.29;T2964781;;;"9050033801; 9050011001; 9050130901";2026-04-02
166;545054222;;;4500014117, 4500014324;Delivered;Delivered;2026-02-25;Truckload;Truckload (Dry);2026-02-25;KDC One;RJW - Joliet;1,239.56;T3747016;;;"9050091602; 9050092002";2026-02-26
167;543781021;;;4500015882,4500015877, 4500014965;Delivered;Delivered;2026-02-13;Truckload;Truckload (Dry);2026-02-13;Menasha Packaging Company;RJW - Joliet;2,150.78;T6174400;;;"9050099305; 9050068801; 9050082601; 9050099301";2026-02-16
168;544766366;;;4500013331;Delivered;Delivered;2026-02-23;Truckload;Truckload (Dry);2026-02-23;AEROFIL;RJWIL;1,576.50;T5228887;;;;2026-02-24
169;548421206;;;4500015554;Delivered;Delivered;2026-03-27;LTL;LTL (Dry);2026-03-27;Cohere Beauty - PHX;RJW WH17;1,676.40;T4446427;;;;2026-04-02
170;553648646;;;4500014943;Delivered;Delivered;2026-05-19;LTL;LTL (Dry);2026-05-19;KDC One;Harry's, INC. C/O Fosdick Fulfillment;589.80;T2197553;;;9050091802;2026-05-29
171;538431949;;;4500013889;Delivered;Delivered;2025-12-22;Truckload;Truckload (Dry);2025-12-22;KDC One;RJW - Joliet;1,135.19;T1481819;;;9050091602;2025-12-23
172;542273140;;;4500015654;Delivered;Delivered;2026-01-29;Truckload;Truckload (Dry);2026-01-29;Legacy (IN);RJW - Joliet;650.00;T5352784;;;9200000201;2026-01-30
173;540750666;;;4500014912, 4500014597, 4500015249;Delivered;Delivered;2026-01-14;Truckload;Truckload (Dry);2026-01-14;FM Howell;RJW - Joliet;1,913.97;T6240725;;;;2026-01-15
174;556297787;;;4500015684,4500015685;Delivered;Delivered;2026-06-08;Truckload;Truckload (Dry);2026-06-08;KDC-Knowlton;RJW - Joliet;3,157.77;T6180312;;;"9050093002; 9050092902";2026-06-11
175;554995972;;;4500015382;Delivered;Delivered;2026-05-29;Truckload;Truckload (Dry);2026-05-29;PLZ MISSISSAUGA PERSONAL CARE;RJW - Joliet;1,952.59;T5268713;;;;2026-06-02
176;547752722;;;4500015567;Delivered;Delivered;2026-03-24;Truckload;Truckload (Dry);2026-03-24;FM Howell;RJW - Joliet;2,274.59;T3819636;;;;2026-03-26
177;546339535;;;4500014835;Delivered;Delivered;2026-03-10;LTL;LTL (Dry);2026-03-10;KDC One;RJW - Joliet;617.10;T4384804;;;9050089602;2026-03-12
178;541557894;;;4500014910, 4500014914;Delivered;Delivered;2026-01-22;Truckload;Truckload (Dry);2026-01-22;FM Howell;RJW - Joliet;1,948.19;T5322034;;;;2026-01-23
179;547192161;;;4500015425;Delivered;Delivered;2026-03-17;LTL;LTL (Dry);2026-03-17;General Fibre Products;CG Labs;238.52;T1359245;;;;2026-03-23
180;553646731;;;4500014943;Carrier Booked;Checked In;2026-05-20;LTL;LTL (Dry);;KDC One;RJW - Joliet;511.43;T218939;;;9050091802;
181;546052030;;;4500013372;Delivered;Delivered;2026-03-09;Truckload;Truckload (Dry);2026-03-09;PLZ MISSISSAUGA PERSONAL CARE;RJW - Joliet;1,800.74;T5367156;;;;2026-03-12
182;544958144;;;4500014426;Delivered;Delivered;2026-03-02;LTL;LTL (Dry);2026-03-02;KDC-Knowlton;Fosdick (CT);307.18;T2295160;;;9050092902;2026-03-05
183;546577173;;;4500014426,4500013865,4500014427;Delivered;Delivered;2026-03-12;Truckload;Truckload (Dry);2026-03-12;KDC-Knowlton;RJW - Joliet;3,547.88;T6180312;;10982265;"9050093002; 9050092902";2026-03-23
184;540337948;;;4500015477;Delivered;Delivered;2026-01-09;Truckload;Truckload (Dry);2026-01-09;Menasha Packaging Company;RJW - Joliet;2,058.14;T5287343;;;9050125612;2026-01-12
185;555685785;;;4500016903;Delivered;Delivered;2026-06-05;Truckload;Truckload (Dry);2026-06-05;Viking Industries;CUSTOMER PICK UP: FOSDICK (NV);5,906.56;T5385243;;;6120041101;2026-06-09
186;550191164;;;4500014992 - 2;Delivered;Delivered;2026-04-15;Truckload;Truckload (Dry);2026-04-15;APEX SHAKOPEE;RJW IL;1,689.94;T6133665;;;;2026-04-15
187;555287565;4500015524;true;4500015524;Delivered;Delivered;2026-05-29;LTL;LTL (Dry);2026-05-29;KDC Chemaid;Harry's, INC. C/O Fosdick Fulfillment;953.81;T4446427;;;"9050096801; 9050092302";2026-06-05
188;546614025;;;4500014331;Delivered;Delivered;2026-03-17;Intermodal;Intermodal (Dry);2026-03-17;Beauty Manufacturing Solutions Corp;RJW - Joliet;1,794.87;T6057752;;;9050092302;2026-04-03
189;541603060;;;4500014828;Delivered;Delivered;2026-01-21;LTL;LTL (Dry);2026-01-21;Westfall-Technik;Legacy IN;224.64;T2295160;;;;2026-01-22
190;556842633;4500017588;true;4500017588;Delivered;Delivered;2026-06-13;Truckload;Truckload (Dry);2026-06-13;Menasha Packaging Company;RJW - Joliet;1,790.07;T6114364;;;"9050089901; 9050089902; 9050068002; 9050099304";
191;555656510;;;4500016758;Delivered;Delivered;2026-06-02;LTL;LTL (Dry);2026-06-02;Acorn;Fosdick CT;765.32;T2197553;;;6270001001;2026-06-09
192;539627290;;;4500012726;Delivered;Delivered;2026-01-05;Truckload;Truckload (Dry);2026-01-05;KDC One;RJW - Joliet;1,244.11;T2417321;;;9050091702;2026-01-06
193;549014354;;;4500014664;Delivered;Delivered;2026-04-02;LTL;LTL (Dry);2026-04-02;Beauty Manufacturing Solutions Corp;Legacy;207.45;T4246;;;9050112901;2026-04-09
194;551265729;;;4500015479;Delivered;Delivered;2026-04-23;Truckload;Truckload (Dry);2026-04-23;menasha;RJWIL2;1,768.86;T5327334;;;;2026-04-24
195;549604445;;;4500014917;Delivered;Delivered;2026-04-08;Truckload;Truckload (Dry);2026-04-08;CG LABS;Fosdick CT;1,257.26;T6266141;;;F25.120$;2026-04-09
196;550585074;;;4500015860;Delivered;Delivered;2026-04-20;LTL;LTL (Dry);2026-04-20;PLZ MISSISSAUGA PERSONAL CARE;Fosdick NV;2,734.93;T2295160;;;;2026-04-27
197;542403825;;;4500013865,450001430;Delivered;Delivered;2026-01-29;Truckload;Truckload (Dry);2026-01-29;KDC-Knowlton;RJW - Joliet;3,449.95;T6180312;;;"9050093202; 9050093002";2026-02-04
198;547428542;;;4500014522,4500014428;Delivered;Delivered;2026-03-19;Truckload;Truckload (Dry);2026-03-19;KDC-Knowlton;Legacy IN;3,643.77;T6180312;;RAEPSHIP202604;"9050093102; 9050092902";2026-03-24
199;546541788;;;4500014331;Delivered;Delivered;2026-03-12;Intermodal;Intermodal (Dry);2026-03-12;Beauty Manufacturing Solutions Corp;Legacy (IN);3,019.12;T6057752;;;9050092302;2026-04-15
200;553196952;;;4500013295;Delivered;Delivered;2026-05-14;Intermodal;Intermodal (Dry);2026-05-14;Beauty Manufacturing Solutions Corp;RJW - Joliet;1,988.23;T5255006;;;9050092202;2026-05-18
201;542555683;;;4500015728;Delivered;Delivered;2026-02-02;Truckload;Truckload (Dry);2026-02-02;RJW - Joliet;Legacy IN;1,215.33;T5365677;;;;2026-02-03
202;541992618;;;55598620;Delivered;Delivered;2026-01-22;LTL;LTL (Dry);2026-01-27;menasha;Fosdick CT;181.50;T4446427;;;;2026-02-02
203;556719959;4500016026;true;4500016026;In Transit;Picked Up;2026-06-10;LTL;LTL (Dry);2026-06-10;OXYGEN DEVELOPMENT MAIN WAREHOUSE;RJW - Joliet;644.63;T4246;;;9050097101;
204;553128893;;;4500015314;Delivered;Delivered;2026-05-13;LTL;LTL (Dry);2026-05-13;KDC One;RJW - Joliet;213.92;T218939;;;9050091602;2026-05-18
205;539115031;;;4500015258;Delivered;Delivered;2025-12-26;LTL;LTL (Dry);2025-12-26;Fosdick Outbound;Fosdick Fulfillment;1,124.74;T2197553;;;;2026-01-07
206;548920052;;;4500015572, 4500015567, 4500015568, 4500015920;Delivered;Delivered;2026-04-09;Truckload;Truckload (Dry);2026-04-09;FM Howell;RJW - Joliet;1,818.62;T6114364;;;;2026-04-10
207;545418850;;;4500016173;Delivered;Delivered;2026-03-03;LTL;LTL (Dry);2026-03-03;Menasha Packaging Company;Westfall Technik;424.29;T4384804;;;9200004704;2026-03-05
208;543564156;;;4500014570, 4500014089;Delivered;Delivered;2026-02-11;Truckload;Truckload (Dry);2026-02-11;KDC One;RJW - Joliet;1,184.00;T6252449;;;9050089502;2026-02-12
209;552484686;;;4500014919;Delivered;Delivered;2026-05-06;Truckload;Truckload (Dry);2026-05-06;PLZ MISSISSAUGA PERSONAL CARE;RJW IL2;1,812.44;T5338852;;;;2026-05-08
210;550937106;;;4500015683;Delivered;Delivered;2026-04-23;Intermodal;Intermodal (Dry);2026-04-23;Beauty Manufacturing Solutions Corp;Legacy;2,894.75;T5613;;;9050098201;2026-04-28
211;554067820;;;4500015242;Delivered;Delivered;2026-05-20;LTL;LTL (Dry);2026-05-21;KDC-Knowlton;Fosdick;323.35;T2295160;;;9050092902;2026-05-28
212;545774223;;;4500016185;Delivered;Delivered;2026-03-04;LTL;LTL (Dry);2026-03-05;Menasha Packaging Company;Legacy;1,230.64;T129576;;;"9200003802; 9200003702; 9050013402";2026-03-10
213;554115447;;;4500015243;Delivered;Delivered;2026-05-20;Truckload;Truckload (Dry);2026-05-21;KDC-Knowlton;RJW - Joliet;2,742.88;T6180312;;;9050093002;2026-05-26
214;549460194;;;4500014664;Delivered;Delivered;2026-04-10;LTL;LTL (Dry);2026-04-10;Beauty Manufacturing Solutions Corp;RJW - Joliet;921.02;T4446427;;;9050112901;2026-04-16
215;556729269;4500017569;true;4500017569;In Transit;Picked Up;2026-06-15;LTL;LTL (Dry);2026-06-15;RJW IL2;Fosdick CT;262.72;T2359780;;;9050089602;
216;556157373;;;4500015314;Delivered;Delivered;2026-06-08;Truckload;Truckload (Dry);2026-06-08;KDC One;RJW - Joliet;1,808.36;T5163245;;;9050091602;2026-06-09
217;543447731;;;4500014570;Delivered;Delivered;2026-02-10;LTL;LTL (Dry);2026-02-10;KDC One;Harry's, INC. C/O Fosdick Fulfillment;578.62;T2197553;;;9050089502;2026-02-17
218;553513758;;;4500013295;Delivered;Delivered;2026-05-20;Intermodal;Intermodal (Dry);2026-05-20;Beauty Manufacturing Solutions Corp;RJW - Joliet;2,267.22;T6057752;;;9050092202;2026-05-28
219;543203165;;;4500014089;Delivered;Delivered;2026-02-09;Truckload;Truckload (Dry);2026-02-09;KDC One;RJW - Joliet;1,537.18;T6284244;;;9050089502;2026-02-10
220;556960122;4500017583;true;4500017583;In Transit;Picked Up;2026-06-12;Truckload;Truckload (Dry);2026-06-12;Fosdick Outbound;Fosdick Fulfillment;6,399.20;T5350638;;;"9050092502; 9050093401; 9050013404; 9050082401";
221;543056306;;;4500014913/15245/15248/15250/14920;Delivered;Delivered;2026-02-05;Truckload;Truckload (Dry);2026-02-05;FM Howell;RJW - Joliet;2,183.69;T5253821;;;9050068701;2026-02-06
222;553507767;;;4500013295;Delivered;Delivered;2026-05-19;Intermodal;Intermodal (Dry);2026-05-20;Beauty Manufacturing Solutions Corp;RJW - Joliet;2,387.45;T5613;;;9050092202;2026-05-28
223;548969793;;;4500016203;Delivered;Delivered;2026-04-03;LTL;LTL (Dry);2026-04-03;Westrock IL;Fosdick;1,765.77;T4446427;;;;2026-04-09
224;550589134;;;4500015148;Delivered;Delivered;2026-04-21;LTL;LTL (Dry);2026-04-22;KDC Chemaid;Fosdick;301.29;T2359780;;;9050096402;2026-04-27
225;553142800;;;4500015349,4500016165,4500016165,4500015779,4500015779,4500015779,4500015779;Delivered;Delivered;2026-05-12;LTL;LTL (Dry);2026-05-12;Westfall-Technik;Legacy;589.05;T4446427;;;"9050099802; 9050099804";2026-05-14
226;552192821;;;9050089903;Delivered;Delivered;2026-05-04;Truckload;Truckload (Dry);2026-05-04;Menasha Packaging Company;Westrock IL;2,476.31;T6249441;;;9050089903;2026-05-05
227;554967263;;;4500014331;Delivered;Delivered;2026-05-27;LTL;LTL (Dry);2026-05-27;Beauty Manufacturing Solutions Corp;RJW - Joliet;1,021.76;T4446427;;;9050092202;2026-06-01
228;555628972;;;4500016544, 4500017332;Delivered;Delivered;2026-06-02;LTL;LTL (Dry);2026-06-01;Westfall-Technik;Fosdick Outbound;573.18;T2295160;;;"9050099804; 9050126501";
229;538380352;;;4500013429;Delivered;Delivered;2025-12-18;LTL;LTL (Dry);2025-12-18;KDC-Knowlton;Fosdick (CT);1,441.01;T2295160;;;9050093302;2026-01-05
230;542734836;;;4500015747;Delivered;Delivered;2026-02-02;Truckload;Truckload (Dry);2026-02-02;Menasha Packaging Company;RJW - Joliet;2,881.68;T6237585;;;"9050099303; 9050068002; 9050110202";2026-02-04
231;547618794;;;4500014522;Delivered;Delivered;2026-03-23;Truckload;Truckload (Dry);2026-03-23;KDC-Knowlton;RJW - Joliet;3,465.85;T6180312;;;9050092902;2026-03-28
232;549744873;;;4500015567, 4500015916, 4500015919, 4500015920;Delivered;Delivered;2026-04-10;Truckload;Truckload (Dry);2026-04-10;FM Howell;RJW - Joliet;1,722.04;T6240725;;;;2026-04-11
233;540483050;;;4500015357;Delivered;Delivered;2026-01-09;LTL;LTL (Dry);2026-01-09;Fosdick Outbound;Fosdick Fulfillment;2,988.84;T4446427;;;"9050092501; 6360049301; 9050091602";2026-01-16
234;540338530;;;4500015472;Delivered;Delivered;2026-01-08;Truckload;Truckload (Dry);2026-01-08;Legacy (IN);RJW - Joliet;1,122.61;T6303428;;;;2026-01-09
235;545992629;;;4500013996;Delivered;Delivered;2026-03-13;Truckload;Truckload (Dry);2026-03-13;KDC Chemaid;RJW - Joliet;3,515.60;T126776;;;9050096801;2026-03-16
236;541566240;;;4500013864;Delivered;Delivered;2026-01-21;Truckload;Truckload (Dry);2026-01-21;KDC-Knowlton;RJW - Joliet;2,718.82;T6275093;;;9050092902;2026-01-24
237;541075058;;;4500015412;Delivered;Delivered;2026-01-16;Truckload;Truckload (Dry);2026-01-16;Menasha CA;RJW - Joliet;6,079.62;T6156613;;;9050092201;2026-01-20
238;541591792;;;4500014659;Delivered;Delivered;2026-01-20;Truckload;Truckload (Dry);2026-01-20;CG Labs;Fosdick CT;550.00;T6016632;;;;2026-01-21
239;542344144;;;PPMANUAL012726;Delivered;Delivered;2026-01-29;LTL;LTL (Dry);2026-01-29;Menasha Packaging Company;Atlantic Packaging Solution Center;612.43;T8154;;;9050013401;2026-02-04
240;547942487;;;4500014917;Delivered;Delivered;2026-03-24;Truckload;Truckload (Dry);2026-03-24;CG LABS;Fosdick CT;800.00;T5348604;;;;2026-03-25
241;554306958;;;4500014940, 4500014837;Delivered;Delivered;2026-05-21;LTL;LTL (Dry);2026-05-21;KDC One;Harry's, INC. C/O Fosdick Fulfillment;1,236.28;T2197553;;;"9050091702; 9050089602";2026-05-27
242;552126633;;;;Delivered;Delivered;2026-04-30;LTL;LTL (Dry);2026-04-30;Westfall-Technik;Fosdick NV;322.76;T2197553;;;9050099803;2026-05-06
243;545539455;;;4500012442;Delivered;Delivered;2026-03-02;LTL;LTL (Dry);2026-03-02;Orlandi Inc.;Fosdick;232.49;T2359780;;;;2026-03-04
244;546668581;;;4500016244;Delivered;Delivered;2026-03-13;Truckload;Truckload (Dry);2026-03-13;RJW - Joliet;Legacy;1,234.69;T6257515;;;;2026-03-16
245;553636808;;;4500017188;Delivered;Delivered;2026-05-18;Truckload;Truckload (Dry);2026-05-18;Legacy;Fosdick;1,200.00;T6046761;;;"9050038405; 9050038402; 9200000301";2026-05-19
246;538801143;;;4500013438;Delivered;Delivered;2025-12-23;LTL;LTL (Dry);2025-12-23;KDC One;Fosdick Fulfillment;556.39;T2197553;;;9050091602;2026-01-05
247;547145941;;;4500014954;Delivered;Delivered;2026-03-17;Truckload;Truckload (Dry);2026-03-17;KDC Chemaid;RJW - Joliet;1,582.38;T5195876;;;"9050087301; 9050096601";2026-03-19
248;550953521;;;4500015479;Delivered;Delivered;2026-04-21;Truckload;Truckload (Dry);2026-04-21;menasha;RJW - Joliet;2,932.71;T3067016;;;;2026-04-23
249;546262826;;;4500016227;Delivered;Delivered;2026-03-09;Truckload;Truckload (Dry);2026-03-09;Legacy (IN);RJW - Joliet;610.45;T6105070;;;9050110501;2026-03-10
250;554751777;;;4500014837;Delivered;Delivered;2026-05-28;Truckload;Truckload (Dry);2026-05-28;KDC One;RJW - Joliet;1,605.45;T5359866;;;9050091702;2026-05-29
251;542048190;;;4500013713;Delivered;Delivered;2026-01-27;Truckload;Truckload (Dry);2026-01-27;PLZ MISSISSAUGA PERSONAL CARE;RJW IL2;1,981.43;T5338852;;;;2026-02-13
252;553655261;;;4500015382;Delivered;Delivered;2026-05-19;Truckload;Truckload (Dry);2026-05-19;PLZ MISSISSAUGA PERSONAL CARE;RJW - Joliet;1,991.48;T5354391;;;;2026-05-20
253;551069283;;;4500016089 / 4500016090;Delivered;Delivered;2026-04-21;LTL;LTL (Dry);2026-04-22;Twincraft;Legacy IN;950.36;T4446427;;;"9050107402; 9050107202";2026-04-27
254;551069186;;;4500016006;Delivered;Delivered;2026-04-23;LTL;LTL (Dry);2026-04-23;BERRY OUTSIDE WAREHOUSE/ENTREPOSAGE PLASPAK INC.;DMI Corporation;546.62;T2295160;;;;2026-04-28
255;555265226;;;4500016273-4500016274-4500015241;Delivered;Delivered;2026-05-29;Truckload;Truckload (Dry);2026-05-29;KDC-Knowlton;Legacy IN;3,274.02;T5367156;;;"9050093103; 9050092903; 9050093302";2026-06-03
256;546418634;;;4500015246, 4500015571, 4500015569;Delivered;Delivered;2026-03-10;Truckload;Truckload (Dry);2026-03-10;FM Howell;RJW - Joliet;1,680.04;T6240725;;;;2026-03-11
257;550482727;;;4500014836;Delivered;Delivered;2026-04-17;LTL;LTL (Dry);2026-04-17;KDC One;Fosdick (CT);652.21;T1934631;;;9050091802;2026-04-21
258;541537236;;;4500014090;Delivered;Delivered;2026-01-22;LTL;LTL (Dry);2026-01-22;KDC One;Fosdick Fulfillment;565.20;T2197553;;;9050089602;2026-01-29
259;553634769;;;4500016484-10;Delivered;Delivered;2026-05-15;LTL;LTL (Dry);2026-05-15;PCA Landisville;Harry's, INC. C/O Fosdick Fulfillment;2,298.87;T2197553;;;;2026-05-22
260;539902183;;;4500015423;Delivered;Delivered;2026-01-06;Truckload;Truckload (Dry);2026-01-06;Menasha Packaging Company;RJW - Joliet;2,126.11;T3067016;;;"9050089901; 9050099303";2026-01-12
261;555857818;;;4500015314, 4500014944;Delivered;Delivered;2026-06-04;LTL;LTL (Dry);2026-06-04;KDC One;Legacy IN;492.80;T2359780;;;"9050091602; 9050124901";2026-06-05
262;544422211;;;4500012728;Delivered;Delivered;2026-02-18;LTL;LTL (Dry);2026-02-18;KDC One;Legacy IN;186.84;T4384804;;;9050091601;2026-02-23
263;547900071;;;00071430;Delivered;Delivered;2026-03-23;LTL;LTL (Dry);2026-03-23;KDC Chemaid;Fosdick (CT);550.00;T5301354;;;;2026-03-24
264;544766350;;;4500013331;Delivered;Delivered;2026-02-23;Truckload;Truckload (Dry);2026-02-23;AEROFIL;RJWIL;1,576.50;T5309195;;;;2026-02-24
265;538251987;;;4500011800,4500013429;Delivered;Delivered;2026-01-09;Truckload;Truckload (Dry);2026-01-09;KDC-Knowlton;RJW - Joliet;3,144.26;T2557724;;91030431;"9050093102; 9050093302";2026-01-14
266;538375152;;;4500013335;Delivered;Delivered;2025-12-18;Truckload;Truckload (Dry);2025-12-18;PLZ MISSISSAUGA PERSONAL CARE;Fosdick Inbound;2,052.85;T6271457;;;;2025-12-19
267;543351565;;;4500015816;Delivered;Delivered;2026-02-09;Truckload;Truckload (Dry);2026-02-09;Menasha Packaging Company;RJW - Joliet;2,782.73;T6016549;;;"9050089903; 9050068002";2026-02-11
268;542932294;;;4500014087;Delivered;Delivered;2026-02-04;Truckload;Truckload (Dry);2026-02-04;KDC One;Legacy IN;877.07;T5147519;;;9050091602;2026-02-05
269;548676218;;;1084224106;Delivered;Delivered;2026-03-30;LTL;LTL (Dry);2026-03-30;Menasha Packaging Company;SAMS CLUB;2,256.50;T2197553;;;9150206110;2026-04-02
270;543560347;;;4500014087, 4500014121;Delivered;Delivered;2026-02-10;Truckload;Truckload (Dry);2026-02-10;KDC One;RJW - Joliet;1,211.68;T3379813;;;9050091602;2026-02-13
271;555858292;;;4500015314, 4500014944;Delivered;Delivered;2026-06-05;LTL;LTL (Dry);2026-06-05;KDC One;Harry's, INC. C/O Fosdick Fulfillment;1,974.90;T2197553;;;"9050091602; 9050124901";
272;545690843;;;4500014835;Delivered;Delivered;2026-03-03;LTL;LTL (Dry);2026-03-03;KDC One;Fosdick (CT);699.27;T1934631;;;9050089602;2026-03-06
273;548678668;;;4684186667;Delivered;Delivered;2026-03-31;LTL;LTL (Dry);2026-03-31;Menasha Packaging Company;Sams Club;6,827.15;T4446427;;;9150206110;2026-05-29
274;555187711;;;4500017449;Delivered;Delivered;2026-06-04;LTL;LTL (Dry);2026-06-03;Legacy (IN);Fosdick (CT);445.50;T2197553;;;"6270000201; 9050076103; 9050047001; 9200000301";
275;546694294;;;4500014523;Delivered;Delivered;2026-03-13;Truckload;Truckload (Dry);2026-03-13;KDC-Knowlton;RJW - Joliet;3,510.66;T6180312;;;9050093002;2026-03-23
276;553794428;;;4500013295;Delivered;Delivered;2026-05-22;Intermodal;Intermodal (Dry);2026-05-22;Beauty Manufacturing Solutions Corp;RJW - Joliet;;T5613;;;9050092202;
277;547187462;;;4500014664;Carrier Booked;Checked In;2026-03-24;LTL;LTL (Dry);;Beauty Manufacturing Solutions Corp;Legacy;;T4446427;;;9050112901;
278;543774338;;;4500012718;Carrier Booked;Checked In;2026-02-17;LTL;LTL (Dry);;Beauty Manufacturing Solutions Corp;Fosdick Fulfillment;;T2197553;;;9050098601;
279;555142820;;;4500017452;Delivered;Delivered;2026-05-29;LTL;LTL (Dry);2026-05-28;Menasha Packaging Company;Legacy;722.20;T2359780;;;9200002701;2026-06-11
280;549060501;;;4500014917;Delivered;Delivered;2026-04-06;LTL;LTL (Dry);2026-04-06;CG Labs;Fosdick CT;558.14;T2295160;;;F25.120$;2026-04-08
281;548916867;4500015651;true;4500015645;Delivered;Delivered;2026-04-01;LTL;LTL (Dry);2026-04-01;menasha;RJWIL2;679.92;T4446427;;;;2026-04-06
282;548125919;;;4500016514;Delivered;Delivered;2026-03-30;LTL;LTL (Dry);2026-03-30;RJW - Joliet;Fosdick;493.81;T2359780;;;;2026-04-06
283;546526021;;;4500016209;Delivered;Delivered;2026-03-12;LTL;LTL (Dry);2026-03-12;PCA;RJW - Joliet;994.61;T4446427;;;;2026-03-17
284;553616831;;;4500017190;Delivered;Delivered;2026-05-18;Truckload;Truckload (Dry);2026-05-18;RJW - Joliet;Legacy IN;1,677.79;T6118911;;;;2026-05-19
285;546576482;;;4500014427,4500014523;Delivered;Delivered;2026-03-12;Truckload;Truckload (Dry);2026-03-12;KDC-Knowlton;RJW - Joliet;3,547.79;T6180312;;;9050093002;2026-03-20
286;540905827;;;4500015512;Delivered;Delivered;2026-01-14;Truckload;Truckload (Dry);2026-01-14;Menasha Packaging Company;RJW - Joliet;2,287.94;T6259117;;;"9050089902; 9050125612";2026-01-19
287;548678064;;;2634005402;Delivered;Delivered;2026-03-31;LTL;LTL (Dry);2026-03-31;Menasha Packaging Company;Sams Club;369.26;T2295160;;;9150206110;2026-04-20
288;546189295;;;4500016229;Delivered;Delivered;2026-03-10;Truckload;Truckload (Dry);2026-03-10;Menasha Packaging Company;RJW - Joliet;1,675.45;T2311907;;;9050089901;2026-03-12
289;552192890;;;4500017075;Delivered;Delivered;2026-05-04;Truckload;Truckload (Dry);2026-05-04;Menasha Packaging Company;RJW - Joliet;2,471.45;T6004148;;;"9050082601; 9050082501; 9050099303; 9050089903; 9050099304";2026-05-05
